rank,name,count,sex,
1,OLIVER,5390,boy,
2,GEORGE,4960,boy,
3,HARRY,4512,boy,
4,NOAH,4107,boy,
5,JACK,3988,boy,
6,LEO,3721,boy,
7,ARTHUR,3644,boy,
8,MUHAMMAD,3507,boy,
9,OSCAR,3459,boy,
10,CHARLIE,3365,boy,
11,JACOB,3350,boy,
12,THOMAS,3243,boy,
13,HENRY,3172,boy,
14,WILLIAM,3015,boy,
15,ALFIE,2977,boy,
16,ARCHIE,2950,boy,
17,JOSHUA,2922,boy,
18,FREDDIE,2838,boy,
19,THEO,2741,boy,
20,ISAAC,2578,boy,
21,JAMES,2536,boy,
22,ALEXANDER,2517,boy,
23,LOGAN,2320,boy,
24,EDWARD,2197,boy,
25,ETHAN,2106,boy,
26,LUCAS,2098,boy,
27,JOSEPH,1989,boy,
28,SEBASTIAN,1964,boy,
29,THEODORE,1932,boy,
30,FINLEY,1926,boy,
31,MAX,1867,boy,
32,MOHAMMED,1846,boy,
33,SAMUEL,1788,boy,
34,HARRISON,1765,boy,
35,BENJAMIN,1743,boy,
36,ARLO,1715,boy,
37,DANIEL,1676,boy,
38,ADAM,1672,boy,
39,TEDDY,1663,boy,
40,MASON,1540,boy,
41,ELIJAH,1519,boy,
42,REUBEN,1504,boy,
43,DYLAN,1465,boy,
44,HUNTER,1410,boy,
45,REGGIE,1356,boy,
46,JAXON,1346,boy,
47,RORY,1323,boy,
48,LOUIE,1319,boy,
49,DAVID,1307,boy,
50,TOMMY,1299,boy,
51,LUCA,1291,boy,
52,ALBIE,1284,boy,
53,HUGO,1279,boy,
54,ZACHARY,1265,boy,
55,ALBERT,1264,boy,
56,JUDE,1182,boy,
57,TOBY,1178,boy,
58,RILEY,1168,boy,
59,EZRA,1118,boy,
60,CARTER,1030,boy,
61,GABRIEL,1022,boy,
62,ROMAN,1018,boy,
63,FRANKIE,1013,boy,
64,HARLEY,1011,boy,
65,FREDERICK,1010,boy,
66,RONNIE,989,boy,
67,JAKE,988,boy,
68,ELLIOT,945,boy,
69,LOUIS,941,boy,
70,JENSON,912,boy,
71,MOHAMMAD,880,boy,
72,STANLEY,877,boy,
73,BOBBY,872,boy,
74,MICHAEL,869,boy,
75,JESSE,861,boy,
76,FINN,817,boy,
77,JAYDEN,792,boy,
78,HARVEY,779,boy,
79,CALEB,776,boy,
80,JACKSON,764,boy,
81,CHARLES,758,boy,
82,MATTHEW,757,boy,
83,GRAYSON,742,boy,
84,BLAKE,733,boy,
85,LIAM,731,boy,
86,ELLIOTT,728,boy,
87,ELLIS,726,boy,
88,RALPH,719,boy,
89,JASPER,708,boy,
89,ROWAN,708,boy,
91,ALEX,696,boy,
91,RYAN,696,boy,
93,FELIX,689,boy,
94,LUKE,677,boy,
95,DEXTER,676,boy,
96,OLLIE,659,boy,
97,LEON,655,boy,
98,TOBIAS,647,boy,
99,SONNY,640,boy,
100,DOMINIC,634,boy,
100,KAI,634,boy,
102,NATHAN,633,boy,
103,IBRAHIM,621,boy,
104,LEWIS,619,boy,
105,YUSUF,617,boy,
106,ALFRED,616,boy,
107,RUPERT,597,boy,
108,TYLER,595,boy,
109,AUSTIN,592,boy,
110,MILO,557,boy,
111,ELI,556,boy,
112,CHESTER,555,boy,
113,AARON,543,boy,
114,HUDSON,541,boy,
115,PATRICK,518,boy,
116,BRODY,514,boy,
117,ROBERT,507,boy,
118,OWEN,506,boy,
119,LEONARDO,504,boy,
120,OAKLEY,500,boy,
121,AIDEN,498,boy,
122,JOHN,486,boy,
123,ELIAS,471,boy,
124,ERIC,470,boy,
125,LINCOLN,462,boy,
126,CONNOR,461,boy,
127,AYAAN,453,boy,
128,JAMIE,452,boy,
128,MUSA,452,boy,
130,JOEL,447,boy,
131,NATHANIEL,440,boy,
132,RUBEN,435,boy,
133,ALI,428,boy,
133,SETH,428,boy,
135,CALLUM,426,boy,
136,COOPER,417,boy,
136,PARKER,417,boy,
138,EVAN,415,boy,
139,COLE,413,boy,
140,BILLY,407,boy,
141,MYLES,404,boy,
142,JAXSON,399,boy,
142,MAXWELL,399,boy,
144,JONAH,387,boy,
