id,name,sex,name_length,first_letter,cluster
1,OLIVER,boy,6,O,2
2,GEORGE,boy,6,G,2
3,HARRY,boy,5,H,3
4,NOAH,boy,4,N,0
5,JACK,boy,4,J,0
6,LEO,boy,3,L,0
7,ARTHUR,boy,6,A,2
8,MUHAMMAD,boy,8,M,1
9,OSCAR,boy,5,O,3
10,CHARLIE,boy,7,C,2
11,JACOB,boy,5,J,3
12,THOMAS,boy,6,T,2
13,HENRY,boy,5,H,3
14,WILLIAM,boy,7,W,2
15,ALFIE,boy,5,A,3
16,ARCHIE,boy,6,A,2
17,JOSHUA,boy,6,J,2
18,FREDDIE,boy,7,F,2
19,THEO,boy,4,T,0
20,ISAAC,boy,5,I,3
21,JAMES,boy,5,J,3
22,ALEXANDER,boy,9,A,1
23,LOGAN,boy,5,L,3
24,EDWARD,boy,6,E,2
25,ETHAN,boy,5,E,3
26,LUCAS,boy,5,L,3
27,JOSEPH,boy,6,J,2
28,SEBASTIAN,boy,9,S,1
29,THEODORE,boy,8,T,1
30,FINLEY,boy,6,F,2
31,MAX,boy,3,M,0
32,MOHAMMED,boy,8,M,1
33,SAMUEL,boy,6,S,2
34,HARRISON,boy,8,H,1
35,BENJAMIN,boy,8,B,1
36,ARLO,boy,4,A,0
37,DANIEL,boy,6,D,2
38,ADAM,boy,4,A,0
39,TEDDY,boy,5,T,3
40,MASON,boy,5,M,3
41,ELIJAH,boy,6,E,2
42,REUBEN,boy,6,R,2
43,DYLAN,boy,5,D,3
44,HUNTER,boy,6,H,2
45,REGGIE,boy,6,R,2
46,JAXON,boy,5,J,3
47,RORY,boy,4,R,0
48,LOUIE,boy,5,L,3
49,DAVID,boy,5,D,3
50,TOMMY,boy,5,T,3
51,LUCA,boy,4,L,0
52,ALBIE,boy,5,A,3
53,HUGO,boy,4,H,0
54,ZACHARY,boy,7,Z,2
55,ALBERT,boy,6,A,2
56,JUDE,boy,4,J,0
57,TOBY,boy,4,T,0
58,RILEY,boy,5,R,3
59,EZRA,boy,4,E,0
60,CARTER,boy,6,C,2
61,GABRIEL,boy,7,G,2
62,ROMAN,boy,5,R,3
63,FRANKIE,boy,7,F,2
64,HARLEY,boy,6,H,2
65,FREDERICK,boy,9,F,1
66,RONNIE,boy,6,R,2
67,JAKE,boy,4,J,0
68,ELLIOT,boy,6,E,2
69,LOUIS,boy,5,L,3
70,JENSON,boy,6,J,2
71,MOHAMMAD,boy,8,M,1
72,STANLEY,boy,7,S,2
73,BOBBY,boy,5,B,3
74,MICHAEL,boy,7,M,2
75,JESSE,boy,5,J,3
76,FINN,boy,4,F,0
77,JAYDEN,boy,6,J,2
78,HARVEY,boy,6,H,2
79,CALEB,boy,5,C,3
80,JACKSON,boy,7,J,2
81,CHARLES,boy,7,C,2
82,MATTHEW,boy,7,M,2
83,GRAYSON,boy,7,G,2
84,BLAKE,boy,5,B,3
85,LIAM,boy,4,L,0
86,ELLIOTT,boy,7,E,2
87,ELLIS,boy,5,E,3
88,RALPH,boy,5,R,3
89,JASPER,boy,6,J,2
90,ROWAN,boy,5,R,3
91,ALEX,boy,4,A,0
92,RYAN,boy,4,R,0
93,FELIX,boy,5,F,3
94,LUKE,boy,4,L,0
95,DEXTER,boy,6,D,2
96,OLLIE,boy,5,O,3
97,LEON,boy,4,L,0
98,TOBIAS,boy,6,T,2
99,SONNY,boy,5,S,3
100,DOMINIC,boy,7,D,2
101,KAI,boy,3,K,0
102,NATHAN,boy,6,N,2
103,IBRAHIM,boy,7,I,2
104,LEWIS,boy,5,L,3
105,YUSUF,boy,5,Y,3
106,ALFRED,boy,6,A,2
107,RUPERT,boy,6,R,2
108,TYLER,boy,5,T,3
109,AUSTIN,boy,6,A,2
110,MILO,boy,4,M,0
111,ELI,boy,3,E,0
112,CHESTER,boy,7,C,2
113,AARON,boy,5,A,3
114,HUDSON,boy,6,H,2
115,PATRICK,boy,7,P,2
116,BRODY,boy,5,B,3
117,ROBERT,boy,6,R,2
118,OWEN,boy,4,O,0
119,LEONARDO,boy,8,L,1
120,OAKLEY,boy,6,O,2
121,AIDEN,boy,5,A,3
122,JOHN,boy,4,J,0
123,ELIAS,boy,5,E,3
124,ERIC,boy,4,E,0
125,LINCOLN,boy,7,L,2
126,CONNOR,boy,6,C,2
127,AYAAN,boy,5,A,3
128,JAMIE,boy,5,J,3
129,MUSA,boy,4,M,0
130,JOEL,boy,4,J,0
131,NATHANIEL,boy,9,N,1
132,RUBEN,boy,5,R,3
133,ALI,boy,3,A,0
134,SETH,boy,4,S,0
135,CALLUM,boy,6,C,2
136,COOPER,boy,6,C,2
137,PARKER,boy,6,P,2
138,EVAN,boy,4,E,0
139,COLE,boy,4,C,0
140,BILLY,boy,5,B,3
141,MYLES,boy,5,M,3
142,JAXSON,boy,6,J,2
143,MAXWELL,boy,7,M,2
144,JONAH,boy,5,J,3
145,VINCENT,boy,7,V,2
146,WILFRED,boy,7,W,2
147,JOEY,boy,4,J,0
148,MUHAMMED,boy,8,M,1
149,MAXIMILIAN,boy,10,M,1
150,JAX,boy,3,J,0
151,VINNIE,boy,6,V,2
152,LENNY,boy,5,L,3
153,CODY,boy,4,C,0
154,LEVI,boy,4,L,0
155,FRANK,boy,5,F,3
156,FINLAY,boy,6,F,2
157,NICHOLAS,boy,8,N,1
158,ANTHONY,boy,7,A,2
159,KIAN,boy,4,K,0
160,REX,boy,3,R,0
161,AIDAN,boy,5,A,3
162,KEVIN,boy,5,K,3
163,SPENCER,boy,7,S,2
164,ROCCO,boy,5,R,3
165,KAYDEN,boy,6,K,2
166,FILIP,boy,5,F,3
167,TED,boy,3,T,0
168,CHRISTOPHER,boy,11,C,4
169,JAKUB,boy,5,J,3
170,MILES,boy,5,M,3
171,SYED,boy,4,S,0
172,ABDULLAH,boy,8,A,1
173,YAHYA,boy,5,Y,3
174,JASON,boy,5,J,3
175,ROBIN,boy,5,R,3
176,XANDER,boy,6,X,2
177,CAMERON,boy,7,C,2
178,ISAIAH,boy,6,I,2
179,MARLEY,boy,6,M,2
180,TRISTAN,boy,7,T,2
181,RIVER,boy,5,R,3
182,EESA,boy,4,E,0
183,RAPHAEL,boy,7,R,2
184,MOHAMED,boy,7,M,2
185,AHMED,boy,5,A,3
186,ANDREW,boy,6,A,2
187,MAXIMUS,boy,7,M,2
188,BODHI,boy,5,B,3
189,ZAYN,boy,4,Z,0
190,RAYAN,boy,5,R,3
191,ABDUL,boy,5,A,3
192,OTIS,boy,4,O,0
193,KIT,boy,3,K,0
194,OMAR,boy,4,O,0
195,ZAKARIYA,boy,8,Z,1
196,ARCHER,boy,6,A,2
197,BRADLEY,boy,7,B,2
198,BRODIE,boy,6,B,2
199,PETER,boy,5,P,3
200,RHYS,boy,4,R,0
201,BEAU,boy,4,B,0
202,BAILEY,boy,6,B,2
203,JORDAN,boy,6,J,2
204,RAFAEL,boy,6,R,2
205,ZAC,boy,3,Z,0
206,HAMZA,boy,5,H,3
207,SAM,boy,3,S,0
208,ANTONI,boy,6,A,2
209,EDEN,boy,4,E,0
210,LUKAS,boy,5,L,3
211,ENZO,boy,4,E,0
212,IDRIS,boy,5,I,3
213,HAYDEN,boy,6,H,2
214,OSKAR,boy,5,O,3
215,SIDNEY,boy,6,S,2
216,KAIDEN,boy,6,K,2
217,ASHER,boy,5,A,3
218,EDDIE,boy,5,E,3
219,JOSIAH,boy,6,J,2
220,ABEL,boy,4,A,0
221,CHRISTIAN,boy,9,C,1
222,MARCEL,boy,6,M,2
223,LORENZO,boy,7,L,2
224,XAVIER,boy,6,X,2
225,MARTIN,boy,6,M,2
226,FRASER,boy,6,F,2
227,RIO,boy,3,R,0
228,COREY,boy,5,C,3
229,MUSTAFA,boy,7,M,2
230,LENNON,boy,6,L,2
231,ADRIAN,boy,6,A,2
232,ASHTON,boy,6,A,2
233,MATEI,boy,5,M,3
234,REMY,boy,4,R,0
235,VICTOR,boy,6,V,2
236,MARCUS,boy,6,M,2
237,OTTO,boy,4,O,0
238,FRANCIS,boy,7,F,2
239,JENSEN,boy,6,J,2
240,JONATHAN,boy,8,J,1
241,QUINN,boy,5,Q,3
242,FLYNN,boy,5,F,3
243,ROHAN,boy,5,R,3
244,AXEL,boy,4,A,0
245,LEONARD,boy,7,L,2
246,ZAIN,boy,4,Z,0
247,CONOR,boy,5,C,3
248,JAN,boy,3,J,0
249,PHOENIX,boy,7,P,2
250,FLETCHER,boy,8,F,1
251,BARNABY,boy,7,B,2
252,FREDDY,boy,6,F,2
253,MARK,boy,4,M,0
254,ISMAIL,boy,6,I,2
255,ALAN,boy,4,A,0
256,CILLIAN,boy,7,C,2
257,ZACK,boy,4,Z,0
258,RALPHIE,boy,7,R,2
259,HASSAN,boy,6,H,2
260,HECTOR,boy,6,H,2
261,BERTIE,boy,6,B,2
262,CHASE,boy,5,C,3
263,MICAH,boy,5,M,3
264,RUFUS,boy,5,R,3
265,ALEKSANDER,boy,10,A,1
266,DENIS,boy,5,D,3
267,CASEY,boy,5,C,3
268,NICO,boy,4,N,0
269,TAYLOR,boy,6,T,2
270,LAYTON,boy,6,L,2
271,RUDY,boy,4,R,0
272,DOMINIK,boy,7,D,2
273,RAFFERTY,boy,8,R,1
274,BEN,boy,3,B,0
275,KACPER,boy,6,K,2
276,JULIAN,boy,6,J,2
277,DAMIAN,boy,6,D,2
278,MORGAN,boy,6,M,2
279,DOUGLAS,boy,7,D,2
280,MALACHI,boy,7,M,2
281,OLLY,boy,4,O,0
282,STEFAN,boy,6,S,2
283,WYATT,boy,5,W,3
284,REGINALD,boy,8,R,1
285,NICOLAS,boy,7,N,2
286,ARJUN,boy,5,A,3
287,ARYAN,boy,5,A,3
288,HARRIS,boy,6,H,2
289,RICHARD,boy,7,R,2
290,TEDDIE,boy,6,T,2
291,MATTEO,boy,6,M,2
292,RAYYAN,boy,6,R,2
293,AHMAD,boy,5,A,3
294,DANNY,boy,5,D,3
295,UMAR,boy,4,U,0
296,ZION,boy,4,Z,0
297,ANGUS,boy,5,A,3
298,IVAN,boy,4,I,0
299,ZAK,boy,3,Z,0
300,ALEXANDRU,boy,9,A,1
301,ZACH,boy,4,Z,0
302,ZAYD,boy,4,Z,0
303,FRANKLIN,boy,8,F,1
304,ANDREI,boy,6,A,2
305,DARIUS,boy,6,D,2
306,CASPER,boy,6,C,2
307,MONTY,boy,5,M,3
308,COBY,boy,4,C,0
309,LEIGHTON,boy,8,L,1
310,JIMMY,boy,5,J,3
311,EWAN,boy,4,E,0
312,FABIAN,boy,6,F,2
313,JACE,boy,4,J,0
314,MATEO,boy,5,M,3
315,SZYMON,boy,6,S,2
316,EMMANUEL,boy,8,E,1
317,JOE,boy,3,J,0
318,WALTER,boy,6,W,2
319,COHEN,boy,5,C,3
320,AMIR,boy,4,A,0
321,KYLE,boy,4,K,0
322,ERIK,boy,4,E,0
323,HARRI,boy,5,H,3
324,KEEGAN,boy,6,K,2
325,PRESTON,boy,7,P,2
326,ERNEST,boy,6,E,2
327,REECE,boy,5,R,3
328,AADAM,boy,5,A,3
329,CIAN,boy,4,C,0
330,RAFE,boy,4,R,0
331,BRANDON,boy,7,B,2
332,JEREMIAH,boy,8,J,1
333,CASSIUS,boy,7,C,2
334,EZEKIEL,boy,7,E,2
335,FRANCISZEK,boy,10,F,1
336,JAY,boy,3,J,0
337,AYAN,boy,4,A,0
338,JUNIOR,boy,6,J,2
339,OSIAN,boy,5,O,3
340,KINGSLEY,boy,8,K,1
341,BUDDY,boy,5,B,3
342,CRUZ,boy,4,C,0
343,CARSON,boy,6,C,2
344,KAIRO,boy,5,K,3
345,MILAN,boy,5,M,3
346,PAUL,boy,4,P,0
347,AYDEN,boy,5,A,3
348,MYLO,boy,4,M,0
349,AARAV,boy,5,A,3
350,DENNIS,boy,6,D,2
351,EDUARD,boy,6,E,2
352,RONAN,boy,5,R,3
353,SOLOMON,boy,7,S,2
354,ZACHARIAH,boy,9,Z,1
355,LUKA,boy,4,L,0
356,HARIS,boy,5,H,3
357,TRAVIS,boy,6,T,2
358,ZAYAN,boy,5,Z,3
359,NATE,boy,4,N,0
360,BILAL,boy,5,B,3
361,BROOKLYN,boy,8,B,1
362,GREYSON,boy,7,G,2
363,ISA,boy,3,I,0
364,MARSHALL,boy,8,M,1
365,ROMEO,boy,5,R,3
366,KOBI,boy,4,K,0
367,SHAY,boy,4,S,0
368,TATE,boy,4,T,0
369,FINNLEY,boy,7,F,2
370,KALEB,boy,5,K,3
371,EDISON,boy,6,E,2
372,HUXLEY,boy,6,H,2
373,HUGH,boy,4,H,0
374,LOCHLAN,boy,7,L,2
375,ELIS,boy,4,E,0
376,HUSSAIN,boy,7,H,2
377,BRUNO,boy,5,B,3
378,DOUGIE,boy,6,D,2
379,JOHNNY,boy,6,J,2
380,KIERAN,boy,6,K,2
381,TOMAS,boy,5,T,3
382,ZAYAAN,boy,6,Z,2
383,TIMOTHY,boy,7,T,2
384,ANTONIO,boy,7,A,2
385,BEAR,boy,4,B,0
386,ISMAEEL,boy,7,I,2
387,IBRAHEEM,boy,8,I,1
388,ILYAS,boy,5,I,3
389,PHILIP,boy,6,P,2
390,TOM,boy,3,T,0
391,ERNIE,boy,5,E,3
392,NOEL,boy,4,N,0
393,TYMON,boy,5,T,3
394,WOODY,boy,5,W,3
395,KOBY,boy,4,K,0
396,KANE,boy,4,K,0
397,LACHLAN,boy,7,L,2
398,SAMI,boy,4,S,0
399,AAHIL,boy,5,A,3
400,DECLAN,boy,6,D,2
401,NIKODEM,boy,7,N,2
402,PERCY,boy,5,P,3
403,ARON,boy,4,A,0
404,JAIDEN,boy,6,J,2
405,OLIVIER,boy,7,O,2
406,AZAAN,boy,5,A,3
407,CAIRO,boy,5,C,3
408,HASAN,boy,5,H,3
409,LENNOX,boy,6,L,2
410,MALIK,boy,5,M,3
411,CLAYTON,boy,7,C,2
412,HAMISH,boy,6,H,2
413,HENDRIX,boy,7,H,2
414,ARCHIBALD,boy,9,A,1
415,COLBY,boy,5,C,3
416,ISSAC,boy,5,I,3
417,LAURENCE,boy,8,L,1
418,MADDOX,boy,6,M,2
419,MAGNUS,boy,6,M,2
420,NIALL,boy,5,N,3
421,SIMON,boy,5,S,3
422,JONAS,boy,5,J,3
423,MALAKAI,boy,7,M,2
424,YUNUS,boy,5,Y,3
425,IOAN,boy,4,I,0
426,MIKAEEL,boy,7,M,2
427,ALBY,boy,4,A,0
428,ARHAM,boy,5,A,3
429,AYMAN,boy,5,A,3
430,DAWUD,boy,5,D,3
